what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1355329320023
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1355329320381
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1355329320962
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1355329321179
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1355329321687
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1355329321689
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1355329321690
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1355329321690
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1355329321709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355332320952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355332321248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355332996182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355332998522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334233157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334235720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334407931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334409212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334475216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355334476921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355336878111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355336878774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355336880323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355336880352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355337788545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355337789020
